date,value,precip,windmax,windmaxdir,rhhi,temphi,templo,avgtemp
2023-09-22,36488601.0,0.0,6.62452,146.78,62.100222,27.61271,16.05807,21.84
2023-09-23,36518339.0,27.92,8.26689,241.5762,71.159986,24.05967,18.76581,21.41
2023-09-24,36116030.0,101.32,5.63836,247.9793,86.012367,21.47554,17.11696,19.3
2023-09-25,36099577.0,83.81,6.3171,161.3166,85.235653,22.82743,16.1693,19.5
2023-09-26,36194553.0,25.05,6.15755,97.3499,83.794306,24.63439,16.89224,20.76
2023-09-27,35261343.0,0.0,5.98194,89.7816,83.487484,24.03661,16.36366,20.2
2023-09-28,32786715.0,14.78,5.86605,216.5708,74.223479,27.01721,16.49739,21.76
2023-09-29,26143405.0,39.09,7.25553,105.5014,71.006826,25.10308,17.34119,21.22
2023-09-30,24094164.0,0.0,9.4278,165.2063,65.32272,25.26509,14.72609,20.0
2023-10-01,23219235.0,0.0,6.35755,187.4902,53.732858,25.19388,12.15107,18.67
2023-10-02,25156452.0,5.22,5.98571,150.1984,58.852215,24.55776,14.12128,19.34
2023-10-03,28013798.0,7.14,6.0717,61.0141,66.286224,25.44997,16.62271,21.04
2023-10-04,31377248.0,0.0,8.89034,178.6283,67.277969,24.95201,15.8807,20.42
2023-10-05,32757612.0,0.0,9.07676,216.198,52.604457,22.20785,13.70553,17.96
2023-10-06,34382526.0,0.0,4.89222,134.8315,58.273637,20.58415,14.34174,17.46
2023-10-07,34294062.0,0.0,4.8344,124.2767,64.463903,22.22682,14.02765,18.13
2023-10-08,33734318.0,0.0,6.86964,61.6342,63.542744,23.80428,13.61722,18.71
2023-10-09,33956821.0,0.0,9.1014,151.505,59.835898,23.96534,13.15199,18.56
2023-10-10,34729747.0,0.0,7.09785,200.8689,62.510679,22.95801,11.85968,17.41
2023-10-11,35140013.0,0.0,5.62257,234.4047,64.653664,23.62611,11.65279,17.64
2023-10-12,35710882.0,0.0,4.95141,276.2679,67.989093,22.69785,12.52619,17.61
2023-10-13,35572804.0,8.89,6.22963,65.001,70.336749,23.88979,13.30789,18.6
2023-10-14,35155095.0,12.44,7.10641,104.3189,62.861003,23.99052,11.6963,17.84
2023-10-15,33958656.0,0.0,7.45966,216.6227,60.03893,25.69087,11.30768,18.5
2023-10-16,33705281.0,0.0,8.54134,245.9496,58.839034,23.28616,11.63932,17.46
2023-10-17,33932461.0,0.0,8.93645,200.4998,63.032829,26.7154,11.93218,19.32
2023-10-18,35023352.0,16.11,10.18676,88.9754,61.10716,24.42292,16.87321,20.65
2023-10-19,35835445.0,17.17,8.98334,169.8581,53.417363,21.95278,13.37387,17.66
2023-10-20,35006838.0,0.0,11.79223,165.8169,40.04507,17.67292,8.58973,13.13
2023-10-21,34985450.0,0.0,7.3039,93.0189,46.985948,21.4894,7.05188,14.27
2023-10-22,34244331.0,0.0,8.79374,56.1173,51.88707,23.3864,10.33459,16.86
2023-10-23,34814329.0,0.0,10.80846,68.2007,52.42748,24.05275,11.44246,17.75
2023-10-24,35061225.0,0.0,9.30259,39.5515,61.142748,26.24951,13.27927,19.76
2023-10-25,35087495.0,0.0,6.80291,42.202,64.950762,28.26188,13.62048,20.94
2023-10-26,35209599.0,0.0,10.79653,209.9278,58.709135,23.61418,12.21686,17.92
2023-10-27,35192753.0,0.0,7.07809,152.6071,52.018731,23.71885,9.1965,16.46
2023-10-28,35004143.0,0.0,7.34168,144.4871,62.10612,25.15186,11.91809,18.53
2023-10-29,33512169.0,0.0,9.80992,60.8956,61.490446,25.97371,13.33971,19.66
2023-10-30,34848962.0,0.0,9.12738,61.5496,65.736511,26.06451,14.55682,20.31
2023-10-31,34025613.0,0.0,10.45545,27.8257,65.577795,27.70088,15.63855,21.67
2023-11-01,33984174.0,0.0,10.23977,30.9469,60.933236,28.52796,16.71158,22.62
2023-11-02,34400811.0,0.0,12.95558,29.1883,56.705531,28.13045,16.97535,22.55
2023-11-03,35972505.0,21.48,11.60595,212.7765,63.365482,19.29226,11.87705,15.58
2023-11-04,35850373.0,25.08,8.11474,270.4689,67.994315,19.95867,10.38329,15.17
2023-11-05,35070034.0,101.32,12.93736,200.4814,87.490506,17.29579,10.92463,14.11
2023-11-06,34754172.0,12.44,19.49661,111.9608,40.856303,12.48693,4.08141,8.28
2023-11-07,35212413.0,0.0,9.36823,263.4845,50.527878,16.34099,3.17435,9.76
2023-11-08,35185952.0,5.73,8.14888,210.3238,65.957044,19.0074,9.11118,14.06
2023-11-09,35810679.0,0.0,15.64681,190.443,62.586693,13.43074,4.56558,9.0
2023-11-10,35504737.0,38.27,12.58897,199.5383,44.175726,8.13758,2.54294,5.34
2023-11-11,35798839.0,63.53,9.17906,177.9481,64.8384,5.73681,0.6182,3.18
2023-11-12,33818769.0,19.58,11.09151,163.5731,53.959479,7.11646,-0.81102,3.15
2023-11-13,34695431.0,0.0,7.61657,134.3239,51.150953,8.3462,-1.24059,3.55
2023-11-14,35179031.0,0.0,6.73225,49.5346,58.965955,11.17572,-0.02617,5.57
